Date,ENB
2007-03-26,16.6200008392334
2007-03-27,16.385000228881836
2007-03-28,16.440000534057617
2007-03-29,16.485000610351562
2007-03-30,16.325000762939453
2007-04-02,16.30500030517578
2007-04-03,16.2450008392334
2007-04-04,16.2549991607666
2007-04-05,16.2450008392334
2007-04-09,16.225000381469727
2007-04-10,16.05500030517578
2007-04-11,16.165000915527344
2007-04-12,16.290000915527344
2007-04-13,16.25
2007-04-16,16.315000534057617
2007-04-17,16.280000686645508
2007-04-18,16.489999771118164
2007-04-19,16.350000381469727
2007-04-20,16.639999389648438
2007-04-23,16.735000610351562
2007-04-24,16.665000915527344
2007-04-25,16.709999084472656
2007-04-26,16.6299991607666
2007-04-27,16.579999923706055
2007-04-30,16.5
2007-05-01,16.579999923706055
2007-05-02,16.764999389648438
2007-05-03,16.780000686645508
2007-05-04,17.0049991607666
2007-05-07,17.010000228881836
2007-05-08,16.96500015258789
2007-05-09,17.05500030517578
2007-05-10,16.950000762939453
2007-05-11,16.90999984741211
2007-05-14,16.860000610351562
2007-05-15,17.030000686645508
2007-05-16,16.950000762939453
2007-05-17,16.94499969482422
2007-05-18,17.020000457763672
2007-05-21,17.260000228881836
2007-05-22,17.264999389648438
2007-05-23,17.299999237060547
2007-05-24,17.110000610351562
2007-05-25,17.315000534057617
2007-05-29,17.364999771118164
2007-05-30,17.71500015258789
2007-05-31,17.780000686645508
2007-06-01,17.924999237060547
2007-06-04,18.014999389648438
2007-06-05,17.7450008392334
2007-06-06,17.44499969482422
2007-06-07,16.905000686645508
2007-06-08,17.135000228881836
2007-06-11,17.024999618530273
2007-06-12,16.834999084472656
2007-06-13,16.975000381469727
2007-06-14,17.03499984741211
2007-06-15,17.110000610351562
2007-06-18,17.079999923706055
2007-06-19,17.06999969482422
2007-06-20,16.950000762939453
2007-06-21,16.80500030517578
2007-06-22,16.735000610351562
2007-06-25,16.719999313354492
2007-06-26,16.55500030517578
2007-06-27,16.75
2007-06-28,16.815000534057617
2007-06-29,16.889999389648438
2007-07-02,16.864999771118164
2007-07-03,16.84000015258789
2007-07-05,17.399999618530273
2007-07-06,17.364999771118164
2007-07-09,17.299999237060547
2007-07-10,17.385000228881836
2007-07-11,17.295000076293945
2007-07-12,17.655000686645508
2007-07-13,17.7549991607666
2007-07-16,17.549999237060547
2007-07-17,17.725000381469727
2007-07-18,18.184999465942383
2007-07-19,18.149999618530273
2007-07-20,18.235000610351562
2007-07-23,18.415000915527344
2007-07-24,18.385000228881836
2007-07-25,18.34000015258789
2007-07-26,17.905000686645508
2007-07-27,17.1299991607666
2007-07-30,17.3700008392334
2007-07-31,17.700000762939453
2007-08-01,17.594999313354492
2007-08-02,17.719999313354492
2007-08-03,17.100000381469727
2007-08-06,17.139999389648438
2007-08-07,17.0049991607666
2007-08-08,17.104999542236328
2007-08-09,17.55500030517578
2007-08-10,17.885000228881836
2007-08-13,17.145000457763672
2007-08-14,16.549999237060547
2007-08-15,16.375
2007-08-16,16.190000534057617
2007-08-17,16.3799991607666
2007-08-20,16.459999084472656
2007-08-21,16.364999771118164
2007-08-22,16.3799991607666
2007-08-23,16.55500030517578
2007-08-24,16.75
2007-08-27,16.5049991607666
2007-08-28,16.204999923706055
2007-08-29,16.639999389648438
2007-08-30,16.690000534057617
2007-08-31,16.84000015258789
2007-09-04,16.985000610351562
2007-09-05,16.96500015258789
2007-09-06,16.81999969482422
2007-09-07,16.889999389648438
2007-09-10,16.719999313354492
2007-09-11,17.079999923706055
2007-09-12,17.1299991607666
2007-09-13,17.3700008392334
2007-09-14,17.475000381469727
2007-09-17,17.360000610351562
2007-09-18,17.81999969482422
2007-09-19,17.674999237060547
2007-09-20,17.875
2007-09-21,18.1299991607666
