Date,XLK
2002-05-30,18.469999313354492
2002-05-31,18.260000228881836
2002-06-03,17.719999313354492
2002-06-04,17.969999313354492
2002-06-05,18.190000534057617
2002-06-06,17.75
2002-06-07,17.360000610351562
2002-06-10,17.200000762939453
2002-06-11,16.81999969482422
2002-06-12,17.15999984741211
2002-06-13,16.8700008392334
2002-06-14,16.84000015258789
2002-06-17,17.40999984741211
2002-06-18,17.219999313354492
2002-06-19,16.540000915527344
2002-06-20,16.15999984741211
2002-06-21,15.699999809265137
2002-06-24,15.970000267028809
2002-06-25,15.420000076293945
2002-06-26,15.430000305175781
2002-06-27,15.84000015258789
2002-06-28,15.819999694824219
2002-07-01,15.149999618530273
2002-07-02,14.699999809265137
2002-07-03,15.239999771118164
2002-07-05,16.059999465942383
2002-07-08,15.579999923706055
2002-07-09,15.350000381469727
2002-07-10,14.9399995803833
2002-07-11,15.489999771118164
2002-07-12,15.420000076293945
2002-07-15,15.720000267028809
2002-07-16,15.539999961853027
2002-07-17,15.649999618530273
2002-07-18,15.319999694824219
2002-07-19,14.84000015258789
2002-07-22,14.0600004196167
2002-07-23,13.359999656677246
2002-07-24,14.050000190734863
2002-07-25,13.210000038146973
2002-07-26,13.390000343322754
2002-07-29,14.180000305175781
2002-07-30,14.399999618530273
2002-07-31,14.319999694824219
2002-08-01,13.6899995803833
2002-08-02,13.399999618530273
2002-08-05,12.819999694824219
2002-08-06,13.359999656677246
2002-08-07,13.600000381469727
2002-08-08,14.100000381469727
2002-08-09,14.050000190734863
2002-08-12,13.920000076293945
2002-08-13,13.600000381469727
2002-08-14,14.449999809265137
2002-08-15,14.649999618530273
2002-08-16,15.0
2002-08-19,15.550000190734863
2002-08-20,15.109999656677246
2002-08-21,15.579999923706055
2002-08-22,15.760000228881836
2002-08-23,15.1899995803833
2002-08-26,15.289999961853027
2002-08-27,14.779999732971191
2002-08-28,14.369999885559082
2002-08-29,14.569999694824219
2002-08-30,14.199999809265137
2002-09-03,13.5
2002-09-04,13.920000076293945
2002-09-05,13.449999809265137
2002-09-06,13.899999618530273
2002-09-09,14.050000190734863
2002-09-10,14.289999961853027
2002-09-11,14.369999885559082
2002-09-12,13.84000015258789
2002-09-13,13.899999618530273
2002-09-16,13.670000076293945
2002-09-17,13.5
2002-09-18,13.359999656677246
2002-09-19,12.760000228881836
2002-09-20,12.829999923706055
2002-09-23,12.430000305175781
2002-09-24,12.229999542236328
2002-09-25,12.699999809265137
2002-09-26,12.550000190734863
2002-09-27,12.239999771118164
2002-09-30,11.829999923706055
2002-10-01,12.470000267028809
2002-10-02,12.1899995803833
2002-10-03,12.15999984741211
2002-10-04,11.899999618530273
2002-10-07,11.6899995803833
2002-10-08,11.6899995803833
2002-10-09,11.579999923706055
2002-10-10,12.1899995803833
2002-10-11,12.960000038146973
2002-10-14,12.979999542236328
2002-10-15,13.800000190734863
2002-10-16,13.050000190734863
2002-10-17,13.600000381469727
2002-10-18,13.779999732971191
2002-10-21,14.0600004196167
2002-10-22,14.0
2002-10-23,14.380000114440918
2002-10-24,14.149999618530273
2002-10-25,14.529999732971191
2002-10-28,14.5
2002-10-29,14.260000228881836
2002-10-30,14.75
2002-10-31,14.760000228881836
2002-11-01,15.199999809265137
2002-11-04,15.789999961853027
2002-11-05,15.6899995803833
2002-11-06,15.9399995803833
2002-11-07,15.3100004196167
2002-11-08,15.199999809265137
2002-11-11,14.670000076293945
2002-11-12,15.079999923706055
2002-11-13,15.149999618530273
2002-11-14,15.760000228881836
2002-11-15,15.789999961853027
2002-11-18,15.609999656677246
2002-11-19,15.359999656677246
2002-11-20,16.0
2002-11-21,16.829999923706055
2002-11-22,16.770000457763672
2002-11-25,17.020000457763672
2002-11-26,16.530000686645508
2002-11-27,17.200000762939453
2002-11-29,17.100000381469727
2002-12-02,17.149999618530273
2002-12-03,16.549999237060547
2002-12-04,16.299999237060547
2002-12-05,15.9399995803833
2002-12-06,16.09000015258789
2002-12-09,15.329999923706055
2002-12-10,15.579999923706055
2002-12-11,15.699999809265137
2002-12-12,15.630000114440918
2002-12-13,15.279999732971191
2002-12-16,15.800000190734863
2002-12-17,15.720000267028809
2002-12-18,15.289999961853027
2002-12-19,15.229999542236328
2002-12-20,15.350000381469727
2002-12-23,15.539999961853027
2002-12-24,15.380000114440918
2002-12-26,15.300000190734863
2002-12-27,15.029999732971191
2002-12-30,14.880000114440918
2002-12-31,14.800000190734863
2003-01-02,15.600000381469727
2003-01-03,15.65999984741211
2003-01-06,16.350000381469727
2003-01-07,16.520000457763672
2003-01-08,15.979999542236328
2003-01-09,16.450000762939453
2003-01-10,16.540000915527344
2003-01-13,16.450000762939453
2003-01-14,16.68000030517578
2003-01-15,16.350000381469727
2003-01-16,16.0
2003-01-17,15.220000267028809
2003-01-21,15.119999885559082
2003-01-22,15.020000457763672
2003-01-23,15.279999732971191
2003-01-24,14.680000305175781
2003-01-27,14.520000457763672
2003-01-28,14.720000267028809
2003-01-29,14.930000305175781
2003-01-30,14.470000267028809
2003-01-31,14.449999809265137
2003-02-03,14.579999923706055
2003-02-04,14.329999923706055
2003-02-05,14.279999732971191
2003-02-06,14.199999809265137
2003-02-07,14.039999961853027
2003-02-10,14.1899995803833
2003-02-11,14.140000343322754
2003-02-12,13.949999809265137
2003-02-13,13.989999771118164
2003-02-14,14.430000305175781
2003-02-18,14.899999618530273
2003-02-19,14.800000190734863
2003-02-20,14.569999694824219
2003-02-21,14.75
2003-02-24,14.5
2003-02-25,14.539999961853027
2003-02-26,14.15999984741211
2003-02-27,14.300000190734863
2003-02-28,14.520000457763672
2003-03-03,14.270000457763672
2003-03-04,14.109999656677246
2003-03-05,14.25
2003-03-06,14.069999694824219
2003-03-07,14.0
2003-03-10,13.710000038146973
2003-03-11,13.640000343322754
2003-03-12,13.819999694824219
2003-03-13,14.5600004196167
