Date,RCL
2004-02-06,41.04999923706055
2004-02-09,41.04999923706055
2004-02-10,41.09000015258789
2004-02-11,41.880001068115234
2004-02-12,41.619998931884766
2004-02-13,41.560001373291016
2004-02-17,42.0
2004-02-18,41.95000076293945
2004-02-19,42.099998474121094
2004-02-20,42.0
2004-02-23,42.04999923706055
2004-02-24,42.68000030517578
2004-02-25,43.279998779296875
2004-02-26,44.38999938964844
2004-02-27,44.25
2004-03-01,44.9900016784668
2004-03-02,45.380001068115234
2004-03-03,45.29999923706055
2004-03-04,45.900001525878906
2004-03-05,45.81999969482422
2004-03-08,45.02000045776367
2004-03-09,44.560001373291016
2004-03-10,44.15999984741211
2004-03-11,42.06999969482422
2004-03-12,42.20000076293945
2004-03-15,40.459999084472656
2004-03-16,39.09000015258789
2004-03-17,40.060001373291016
2004-03-18,40.43000030517578
2004-03-19,40.61000061035156
2004-03-22,39.41999816894531
2004-03-23,40.08000183105469
2004-03-24,39.400001525878906
2004-03-25,40.779998779296875
2004-03-26,42.04999923706055
2004-03-29,43.060001373291016
2004-03-30,43.5
2004-03-31,44.099998474121094
2004-04-01,44.83000183105469
2004-04-02,45.79999923706055
2004-04-05,45.439998626708984
2004-04-06,45.7400016784668
2004-04-07,45.540000915527344
2004-04-08,45.279998779296875
2004-04-12,45.689998626708984
2004-04-13,44.54999923706055
2004-04-14,44.79999923706055
2004-04-15,44.25
2004-04-16,45.16999816894531
2004-04-19,45.290000915527344
2004-04-20,44.040000915527344
2004-04-21,43.86000061035156
2004-04-22,44.18000030517578
2004-04-23,44.16999816894531
2004-04-26,43.709999084472656
2004-04-27,42.0
2004-04-28,41.36000061035156
2004-04-29,40.7599983215332
2004-04-30,40.529998779296875
2004-05-03,40.79999923706055
2004-05-04,41.650001525878906
2004-05-05,42.599998474121094
2004-05-06,41.93000030517578
2004-05-07,40.79999923706055
2004-05-10,39.70000076293945
2004-05-11,39.400001525878906
2004-05-12,38.939998626708984
2004-05-13,38.869998931884766
2004-05-14,39.279998779296875
2004-05-17,38.369998931884766
2004-05-18,38.400001525878906
2004-05-19,38.54999923706055
2004-05-20,38.959999084472656
2004-05-21,39.47999954223633
2004-05-24,39.63999938964844
2004-05-25,40.08000183105469
2004-05-26,39.36000061035156
2004-05-27,39.689998626708984
2004-05-28,39.119998931884766
2004-06-01,39.040000915527344
2004-06-02,38.720001220703125
2004-06-03,38.16999816894531
2004-06-04,39.099998474121094
2004-06-07,40.93000030517578
2004-06-08,41.63999938964844
2004-06-09,41.40999984741211
2004-06-10,41.310001373291016
2004-06-14,40.34000015258789
2004-06-15,40.95000076293945
2004-06-16,40.65999984741211
2004-06-17,43.2599983215332
2004-06-18,43.25
2004-06-21,43.0
2004-06-22,43.25
2004-06-23,44.279998779296875
2004-06-24,44.86000061035156
2004-06-25,45.279998779296875
2004-06-28,44.36000061035156
2004-06-29,43.900001525878906
2004-06-30,43.40999984741211
2004-07-01,43.880001068115234
2004-07-02,42.900001525878906
2004-07-06,43.130001068115234
2004-07-07,43.369998931884766
2004-07-08,42.43000030517578
2004-07-09,42.369998931884766
2004-07-12,42.66999816894531
2004-07-13,42.90999984741211
2004-07-14,43.099998474121094
2004-07-15,43.279998779296875
2004-07-16,43.02000045776367
2004-07-19,42.81999969482422
2004-07-20,42.099998474121094
2004-07-21,41.54999923706055
2004-07-22,41.380001068115234
2004-07-23,40.66999816894531
2004-07-26,39.97999954223633
2004-07-27,41.189998626708984
2004-07-28,42.7599983215332
2004-07-29,43.43000030517578
2004-07-30,42.75
2004-08-02,42.41999816894531
2004-08-03,42.0
2004-08-04,41.709999084472656
