Date,XLU
2001-11-13,28.520000457763672
2001-11-14,28.219999313354492
2001-11-15,28.170000076293945
2001-11-16,28.469999313354492
2001-11-19,28.399999618530273
2001-11-20,28.459999084472656
2001-11-21,28.25
2001-11-23,28.219999313354492
2001-11-26,28.25
2001-11-27,27.8700008392334
2001-11-28,27.5
2001-11-29,27.489999771118164
2001-11-30,27.3700008392334
2001-12-03,27.420000076293945
2001-12-04,27.729999542236328
2001-12-05,27.93000030517578
2001-12-06,27.670000076293945
2001-12-07,27.700000762939453
2001-12-10,27.510000228881836
2001-12-11,27.06999969482422
2001-12-12,27.3700008392334
2001-12-13,27.34000015258789
2001-12-14,27.149999618530273
2001-12-17,27.270000457763672
2001-12-18,27.520000457763672
2001-12-19,28.110000610351562
2001-12-20,27.969999313354492
2001-12-21,27.559999465942383
2001-12-24,27.780000686645508
2001-12-26,27.75
2001-12-27,28.1200008392334
2001-12-28,28.020000457763672
2001-12-31,28.030000686645508
2002-01-02,28.43000030517578
2002-01-03,28.579999923706055
2002-01-04,28.450000762939453
2002-01-07,28.479999542236328
2002-01-08,28.1299991607666
2002-01-09,27.8799991607666
2002-01-10,28.100000381469727
2002-01-11,27.829999923706055
2002-01-14,28.09000015258789
2002-01-15,28.100000381469727
2002-01-16,27.979999542236328
2002-01-17,27.700000762939453
2002-01-18,27.649999618530273
2002-01-22,27.049999237060547
2002-01-23,27.450000762939453
2002-01-24,27.389999389648438
2002-01-25,27.219999313354492
2002-01-28,27.219999313354492
2002-01-29,26.8700008392334
2002-01-30,26.84000015258789
2002-01-31,27.020000457763672
2002-02-01,27.079999923706055
2002-02-04,26.799999237060547
2002-02-05,26.440000534057617
2002-02-06,25.90999984741211
2002-02-07,26.280000686645508
2002-02-08,26.420000076293945
2002-02-11,26.600000381469727
2002-02-12,26.600000381469727
2002-02-13,26.760000228881836
2002-02-14,26.81999969482422
2002-02-15,26.770000457763672
2002-02-19,26.309999465942383
2002-02-20,26.639999389648438
2002-02-21,26.110000610351562
2002-02-22,26.469999313354492
2002-02-25,26.770000457763672
2002-02-26,26.739999771118164
2002-02-27,26.920000076293945
2002-02-28,26.969999313354492
2002-03-01,27.549999237060547
2002-03-04,27.8799991607666
2002-03-05,27.899999618530273
2002-03-06,28.450000762939453
2002-03-07,28.280000686645508
2002-03-08,28.200000762939453
2002-03-11,28.290000915527344
2002-03-12,28.0
2002-03-13,28.0
2002-03-14,27.899999618530273
2002-03-15,27.90999984741211
2002-03-18,28.040000915527344
2002-03-19,28.170000076293945
2002-03-20,28.0
2002-03-21,28.299999237060547
2002-03-22,27.969999313354492
2002-03-25,28.010000228881836
2002-03-26,27.860000610351562
