Date,PLUG
2003-06-27,48.0
2003-06-30,46.70000076293945
2003-07-01,45.79999923706055
2003-07-02,45.79999923706055
2003-07-03,45.599998474121094
2003-07-07,48.5
2003-07-08,50.599998474121094
2003-07-09,50.0
2003-07-10,49.5
2003-07-11,50.20000076293945
2003-07-14,49.599998474121094
2003-07-15,48.900001525878906
2003-07-16,47.900001525878906
2003-07-17,47.599998474121094
2003-07-18,46.5
2003-07-21,44.599998474121094
2003-07-22,45.29999923706055
2003-07-23,45.70000076293945
2003-07-24,45.599998474121094
2003-07-25,44.900001525878906
2003-07-28,46.5
2003-07-29,45.5
2003-07-30,45.70000076293945
2003-07-31,44.099998474121094
2003-08-01,44.099998474121094
2003-08-04,43.5
2003-08-05,42.099998474121094
2003-08-06,40.900001525878906
2003-08-07,39.5
2003-08-08,42.0
2003-08-11,40.599998474121094
2003-08-12,41.0
2003-08-13,41.20000076293945
2003-08-14,41.79999923706055
2003-08-15,51.599998474121094
2003-08-18,50.0
2003-08-19,48.20000076293945
2003-08-20,46.70000076293945
2003-08-21,54.400001525878906
2003-08-22,51.29999923706055
2003-08-25,52.79999923706055
2003-08-26,51.29999923706055
2003-08-27,51.79999923706055
2003-08-28,51.5
2003-08-29,51.099998474121094
2003-09-02,50.599998474121094
2003-09-03,51.29999923706055
2003-09-04,51.29999923706055
2003-09-05,51.5
2003-09-08,50.900001525878906
2003-09-09,51.79999923706055
2003-09-10,48.599998474121094
2003-09-11,50.5
2003-09-12,49.900001525878906
2003-09-15,49.099998474121094
2003-09-16,49.70000076293945
2003-09-17,49.5
2003-09-18,53.0
2003-09-19,52.70000076293945
2003-09-22,54.099998474121094
2003-09-23,59.400001525878906
2003-09-24,64.0
2003-09-25,54.70000076293945
2003-09-26,51.79999923706055
2003-09-29,53.79999923706055
2003-09-30,51.29999923706055
2003-10-01,53.099998474121094
2003-10-02,60.20000076293945
2003-10-03,59.79999923706055
2003-10-06,61.400001525878906
2003-10-07,63.900001525878906
2003-10-08,63.5
2003-10-09,65.5
2003-10-10,63.900001525878906
2003-10-13,67.69999694824219
2003-10-14,69.9000015258789
2003-10-15,70.5999984741211
2003-10-16,66.9000015258789
2003-10-17,64.5
2003-10-20,66.30000305175781
2003-10-21,66.80000305175781
2003-10-22,63.599998474121094
2003-10-23,59.5
2003-10-24,59.099998474121094
2003-10-27,60.900001525878906
2003-10-28,62.70000076293945
2003-10-29,65.80000305175781
2003-10-30,62.599998474121094
2003-10-31,63.20000076293945
2003-11-03,65.80000305175781
2003-11-04,66.0999984741211
2003-11-05,68.0
2003-11-06,64.5
2003-11-07,60.099998474121094
2003-11-10,57.900001525878906
2003-11-11,50.400001525878906
2003-11-12,51.0
2003-11-13,52.5
2003-11-14,55.79999923706055
2003-11-17,53.20000076293945
2003-11-18,52.400001525878906
2003-11-19,50.20000076293945
2003-11-20,50.79999923706055
2003-11-21,50.29999923706055
2003-11-24,51.5
2003-11-25,55.20000076293945
2003-11-26,57.20000076293945
2003-11-28,57.79999923706055
2003-12-01,57.5
2003-12-02,59.400001525878906
2003-12-03,61.5
2003-12-04,60.5
2003-12-05,61.29999923706055
2003-12-08,60.900001525878906
2003-12-09,60.5
2003-12-10,57.400001525878906
2003-12-11,58.599998474121094
2003-12-12,59.20000076293945
2003-12-15,58.29999923706055
2003-12-16,58.70000076293945
2003-12-17,58.900001525878906
2003-12-18,64.0
2003-12-19,64.4000015258789
2003-12-22,67.30000305175781
2003-12-23,69.5
2003-12-24,70.69999694824219
2003-12-26,68.19999694824219
2003-12-29,69.9000015258789
2003-12-30,73.4000015258789
2003-12-31,72.5
2004-01-02,74.80000305175781
2004-01-05,78.0
2004-01-06,75.9000015258789
2004-01-07,78.5
2004-01-08,78.5
2004-01-09,80.5
2004-01-12,90.0999984741211
2004-01-13,95.80000305175781
2004-01-14,99.9000015258789
2004-01-15,92.5
2004-01-16,95.5
2004-01-20,104.5999984741211
2004-01-21,94.30000305175781
2004-01-22,94.19999694824219
2004-01-23,94.80000305175781
2004-01-26,99.0
2004-01-27,95.0
2004-01-28,95.0
2004-01-29,91.30000305175781
2004-01-30,94.4000015258789
2004-02-02,92.69999694824219
2004-02-03,91.9000015258789
2004-02-04,87.9000015258789
2004-02-05,85.5
2004-02-06,88.5
2004-02-09,90.9000015258789
2004-02-10,92.0
2004-02-11,93.0999984741211
2004-02-12,93.9000015258789
2004-02-13,92.80000305175781
2004-02-17,95.9000015258789
2004-02-18,94.19999694824219
2004-02-19,91.19999694824219
2004-02-20,89.0
2004-02-23,84.9000015258789
2004-02-24,82.5
