Date,XLY
2002-06-28,27.469999313354492
2002-07-01,26.639999389648438
2002-07-02,26.270000457763672
2002-07-03,26.610000610351562
2002-07-05,27.65999984741211
2002-07-08,27.280000686645508
2002-07-09,26.65999984741211
2002-07-10,25.790000915527344
2002-07-11,25.770000457763672
2002-07-12,25.440000534057617
2002-07-15,25.049999237060547
2002-07-16,24.3700008392334
2002-07-17,24.239999771118164
2002-07-18,23.84000015258789
2002-07-19,22.68000030517578
2002-07-22,22.309999465942383
2002-07-23,21.950000762939453
2002-07-24,23.239999771118164
2002-07-25,22.860000610351562
2002-07-26,23.1299991607666
2002-07-29,24.399999618530273
2002-07-30,24.309999465942383
2002-07-31,24.190000534057617
2002-08-01,23.450000762939453
2002-08-02,22.40999984741211
2002-08-05,21.889999389648438
2002-08-06,22.540000915527344
2002-08-07,22.860000610351562
2002-08-08,23.15999984741211
2002-08-09,23.25
2002-08-12,22.920000076293945
2002-08-13,22.65999984741211
2002-08-14,23.899999618530273
2002-08-15,24.8799991607666
2002-08-16,24.850000381469727
2002-08-19,25.43000030517578
2002-08-20,25.25
2002-08-21,25.670000076293945
2002-08-22,26.059999465942383
2002-08-23,25.34000015258789
2002-08-26,25.489999771118164
2002-08-27,24.969999313354492
2002-08-28,24.68000030517578
2002-08-29,24.90999984741211
2002-08-30,24.920000076293945
2002-09-03,24.030000686645508
2002-09-04,24.479999542236328
2002-09-05,24.030000686645508
2002-09-06,24.780000686645508
2002-09-09,25.110000610351562
2002-09-10,25.420000076293945
2002-09-11,25.43000030517578
2002-09-12,24.799999237060547
2002-09-13,25.049999237060547
2002-09-16,25.1200008392334
2002-09-17,24.84000015258789
2002-09-18,24.8700008392334
2002-09-19,24.0
2002-09-20,24.329999923706055
2002-09-23,23.56999969482422
2002-09-24,23.200000762939453
2002-09-25,23.65999984741211
2002-09-26,24.229999542236328
2002-09-27,23.520000457763672
2002-09-30,22.670000076293945
2002-10-01,23.299999237060547
2002-10-02,22.780000686645508
2002-10-03,22.670000076293945
2002-10-04,22.3799991607666
2002-10-07,21.510000228881836
2002-10-08,22.149999618530273
2002-10-09,21.350000381469727
2002-10-10,21.729999542236328
2002-10-11,22.780000686645508
2002-10-14,22.959999084472656
2002-10-15,24.100000381469727
2002-10-16,23.670000076293945
2002-10-17,23.93000030517578
2002-10-18,24.260000228881836
2002-10-21,24.799999237060547
2002-10-22,24.65999984741211
2002-10-23,24.940000534057617
2002-10-24,24.6299991607666
2002-10-25,25.1299991607666
2002-10-28,24.729999542236328
2002-10-29,24.700000762939453
2002-10-30,24.270000457763672
2002-10-31,24.200000762939453
2002-11-01,24.559999465942383
2002-11-04,24.450000762939453
2002-11-05,24.780000686645508
2002-11-06,25.059999465942383
2002-11-07,24.450000762939453
2002-11-08,24.1299991607666
2002-11-11,23.739999771118164
2002-11-12,24.100000381469727
2002-11-13,24.170000076293945
2002-11-14,24.850000381469727
2002-11-15,25.049999237060547
2002-11-18,24.639999389648438
2002-11-19,24.1299991607666
2002-11-20,24.360000610351562
2002-11-21,25.0
2002-11-22,25.06999969482422
2002-11-25,25.229999542236328
2002-11-26,24.540000915527344
2002-11-27,25.559999465942383
2002-11-29,25.31999969482422
2002-12-02,25.5
2002-12-03,24.700000762939453
2002-12-04,24.700000762939453
2002-12-05,24.530000686645508
2002-12-06,24.5
2002-12-09,23.700000762939453
2002-12-10,24.1299991607666
2002-12-11,24.100000381469727
2002-12-12,23.950000762939453
2002-12-13,23.520000457763672
2002-12-16,24.100000381469727
2002-12-17,23.75
2002-12-18,23.450000762939453
2002-12-19,23.239999771118164
2002-12-20,23.479999542236328
2002-12-23,23.149999618530273
2002-12-24,23.030000686645508
2002-12-26,23.290000915527344
2002-12-27,22.75
2002-12-30,22.969999313354492
2002-12-31,23.110000610351562
2003-01-02,23.979999542236328
2003-01-03,23.43000030517578
2003-01-06,23.860000610351562
2003-01-07,23.729999542236328
2003-01-08,23.510000228881836
2003-01-09,24.15999984741211
2003-01-10,24.219999313354492
2003-01-13,24.34000015258789
2003-01-14,24.3700008392334
2003-01-15,24.079999923706055
2003-01-16,23.989999771118164
2003-01-17,23.75
2003-01-21,23.079999923706055
2003-01-22,22.75
2003-01-23,23.280000686645508
2003-01-24,22.6299991607666
2003-01-27,22.270000457763672
2003-01-28,22.600000381469727
2003-01-29,22.799999237060547
2003-01-30,22.149999618530273
2003-01-31,22.34000015258789
2003-02-03,22.420000076293945
2003-02-04,21.959999084472656
2003-02-05,21.899999618530273
2003-02-06,21.81999969482422
2003-02-07,21.649999618530273
2003-02-10,21.65999984741211
2003-02-11,21.739999771118164
2003-02-12,21.559999465942383
2003-02-13,21.290000915527344
2003-02-14,21.75
2003-02-18,22.350000381469727
2003-02-19,22.040000915527344
2003-02-20,21.829999923706055
2003-02-21,22.15999984741211
2003-02-24,21.540000915527344
2003-02-25,21.979999542236328
2003-02-26,21.68000030517578
2003-02-27,21.979999542236328
2003-02-28,22.239999771118164
2003-03-03,21.899999618530273
2003-03-04,21.290000915527344
2003-03-05,21.559999465942383
2003-03-06,21.309999465942383
2003-03-07,21.6299991607666
