Date,XLE
2002-08-16,23.299999237060547
2002-08-19,23.489999771118164
2002-08-20,22.899999618530273
2002-08-21,22.950000762939453
2002-08-22,23.600000381469727
2002-08-23,23.219999313354492
2002-08-26,23.530000686645508
2002-08-27,23.520000457763672
2002-08-28,22.959999084472656
2002-08-29,22.760000228881836
2002-08-30,22.90999984741211
2002-09-03,22.0
2002-09-04,21.950000762939453
2002-09-05,21.989999771118164
2002-09-06,22.350000381469727
2002-09-09,22.31999969482422
2002-09-10,22.799999237060547
2002-09-11,22.68000030517578
2002-09-12,22.1200008392334
2002-09-13,22.360000610351562
2002-09-16,22.520000457763672
2002-09-17,21.790000915527344
2002-09-18,21.850000381469727
2002-09-19,21.229999542236328
2002-09-20,21.270000457763672
2002-09-23,21.149999618530273
2002-09-24,20.540000915527344
2002-09-25,21.100000381469727
2002-09-26,21.989999771118164
2002-09-27,21.579999923706055
2002-09-30,21.15999984741211
2002-10-01,21.829999923706055
2002-10-02,21.59000015258789
2002-10-03,21.729999542236328
2002-10-04,21.360000610351562
2002-10-07,21.09000015258789
2002-10-08,20.860000610351562
2002-10-09,20.450000762939453
2002-10-10,20.93000030517578
2002-10-11,21.280000686645508
2002-10-14,21.8700008392334
2002-10-15,22.530000686645508
2002-10-16,22.18000030517578
2002-10-17,22.649999618530273
2002-10-18,22.6299991607666
2002-10-21,22.739999771118164
2002-10-22,22.100000381469727
2002-10-23,22.459999084472656
2002-10-24,22.09000015258789
2002-10-25,21.75
2002-10-28,21.709999084472656
2002-10-29,21.079999923706055
2002-10-30,21.780000686645508
2002-10-31,21.549999237060547
2002-11-01,22.1200008392334
2002-11-04,21.75
2002-11-05,22.200000762939453
2002-11-06,22.399999618530273
2002-11-07,21.979999542236328
2002-11-08,21.850000381469727
2002-11-11,21.579999923706055
2002-11-12,21.510000228881836
2002-11-13,21.030000686645508
2002-11-14,21.709999084472656
2002-11-15,21.8799991607666
2002-11-18,21.899999618530273
2002-11-19,21.899999618530273
2002-11-20,22.329999923706055
2002-11-21,22.5
2002-11-22,22.020000457763672
2002-11-25,22.200000762939453
2002-11-26,21.780000686645508
2002-11-27,22.170000076293945
2002-11-29,22.440000534057617
2002-12-02,22.510000228881836
2002-12-03,22.729999542236328
2002-12-04,22.530000686645508
2002-12-05,22.68000030517578
2002-12-06,22.899999618530273
2002-12-09,22.5
2002-12-10,22.850000381469727
2002-12-11,22.729999542236328
2002-12-12,22.93000030517578
2002-12-13,22.8700008392334
2002-12-16,23.260000228881836
2002-12-17,23.020000457763672
2002-12-18,22.829999923706055
2002-12-19,22.600000381469727
2002-12-20,22.940000534057617
2002-12-23,23.040000915527344
2002-12-24,22.93000030517578
2002-12-26,22.670000076293945
2002-12-27,22.18000030517578
2002-12-30,22.290000915527344
2002-12-31,22.329999923706055
2003-01-02,22.799999237060547
2003-01-03,22.760000228881836
2003-01-06,22.950000762939453
2003-01-07,22.200000762939453
2003-01-08,21.989999771118164
2003-01-09,22.270000457763672
2003-01-10,22.09000015258789
2003-01-13,22.010000228881836
2003-01-14,22.100000381469727
2003-01-15,22.170000076293945
2003-01-16,22.389999389648438
2003-01-17,22.219999313354492
2003-01-21,21.700000762939453
2003-01-22,21.639999389648438
2003-01-23,21.700000762939453
2003-01-24,21.31999969482422
2003-01-27,20.649999618530273
2003-01-28,21.0
2003-01-29,21.68000030517578
2003-01-30,21.34000015258789
2003-01-31,21.770000457763672
2003-02-03,21.940000534057617
2003-02-04,22.09000015258789
2003-02-05,21.93000030517578
2003-02-06,21.84000015258789
2003-02-07,21.639999389648438
2003-02-10,21.920000076293945
2003-02-11,21.780000686645508
2003-02-12,21.399999618530273
2003-02-13,21.299999237060547
2003-02-14,21.469999313354492
2003-02-18,21.81999969482422
2003-02-19,21.799999237060547
2003-02-20,21.75
2003-02-21,22.229999542236328
2003-02-24,22.420000076293945
2003-02-25,22.299999237060547
2003-02-26,22.360000610351562
2003-02-27,22.229999542236328
2003-02-28,22.40999984741211
2003-03-03,22.489999771118164
2003-03-04,22.3799991607666
2003-03-05,22.579999923706055
2003-03-06,22.600000381469727
2003-03-07,22.600000381469727
