Date,ELY
1993-09-08,12.78125
1993-09-09,13.4375
1993-09-10,13.40625
1993-09-13,13.1875
1993-09-14,12.875
1993-09-15,13.15625
1993-09-16,13.4375
1993-09-17,13.4375
1993-09-20,13.375
1993-09-21,13.15625
1993-09-22,13.90625
1993-09-23,13.875
1993-09-24,14.3125
1993-09-27,14.25
1993-09-28,15.0625
1993-09-29,14.6875
1993-09-30,14.75
1993-10-01,14.75
1993-10-04,14.9375
1993-10-05,15.28125
1993-10-06,15.75
1993-10-07,15.4375
1993-10-08,15.4375
1993-10-11,15.5625
1993-10-12,15.6875
1993-10-13,15.5625
1993-10-14,15.875
1993-10-15,15.9375
1993-10-18,16.09375
1993-10-19,15.5625
1993-10-20,15.125
1993-10-21,15.1875
1993-10-22,15.3125
1993-10-25,14.875
1993-10-26,14.40625
1993-10-27,14.21875
1993-10-28,14.53125
1993-10-29,14.5
1993-11-01,14.34375
1993-11-02,13.9375
1993-11-03,13.59375
1993-11-04,13.15625
1993-11-05,13.375
1993-11-08,13.3125
1993-11-09,12.9375
1993-11-10,13.25
1993-11-11,13.15625
1993-11-12,12.96875
1993-11-15,12.96875
1993-11-16,12.5
1993-11-17,12.25
1993-11-18,11.84375
1993-11-19,11.25
1993-11-22,11.71875
1993-11-23,12.4375
1993-11-24,12.78125
1993-11-26,12.90625
1993-11-29,13.1875
1993-11-30,13.03125
1993-12-01,13.5625
1993-12-02,13.875
1993-12-03,14.46875
1993-12-06,14.1875
1993-12-07,13.75
1993-12-08,14.0625
1993-12-09,13.75
1993-12-10,13.375
1993-12-13,13.21875
1993-12-14,13.15625
1993-12-15,13.15625
1993-12-16,13.25
1993-12-17,13.5625
1993-12-20,13.84375
1993-12-21,14.0
1993-12-22,14.15625
1993-12-23,13.875
1993-12-27,13.9375
1993-12-28,13.96875
1993-12-29,13.90625
1993-12-30,13.4375
1993-12-31,13.34375
1994-01-03,12.9375
1994-01-04,12.9375
1994-01-05,12.6875
1994-01-06,12.71875
1994-01-07,13.25
1994-01-10,13.09375
1994-01-11,13.3125
1994-01-12,13.84375
1994-01-13,13.8125
1994-01-14,13.75
1994-01-17,14.3125
1994-01-18,14.25
1994-01-19,14.28125
1994-01-20,14.65625
1994-01-21,14.875
1994-01-24,15.15625
1994-01-25,14.90625
1994-01-26,14.625
1994-01-27,15.65625
1994-01-28,16.65625
1994-01-31,17.34375
1994-02-01,17.0
1994-02-02,17.03125
1994-02-03,17.15625
1994-02-04,16.125
1994-02-07,17.1875
1994-02-08,16.90625
1994-02-09,16.875
1994-02-10,17.03125
1994-02-11,17.03125
1994-02-14,17.46875
1994-02-15,18.03125
1994-02-16,17.90625
1994-02-17,17.46875
1994-02-18,17.75
1994-02-22,17.8125
1994-02-23,17.625
1994-02-24,17.34375
1994-02-25,17.96875
1994-02-28,17.875
1994-03-01,17.875
1994-03-02,18.0625
1994-03-03,18.1875
1994-03-04,19.0625
1994-03-07,20.125
1994-03-08,20.3125
1994-03-09,19.8125
1994-03-10,20.3125
1994-03-11,19.625
1994-03-14,19.625
1994-03-15,19.875
1994-03-16,19.8125
1994-03-17,19.625
1994-03-18,19.0
1994-03-21,18.5
1994-03-22,18.0625
1994-03-23,18.6875
1994-03-24,18.625
1994-03-25,18.625
1994-03-28,17.625
1994-03-29,17.125
1994-03-30,16.3125
1994-03-31,16.3125
1994-04-04,16.875
1994-04-05,18.5625
1994-04-06,17.9375
1994-04-07,18.3125
1994-04-08,18.1875
1994-04-11,18.8125
1994-04-12,18.25
1994-04-13,17.5625
1994-04-14,17.4375
1994-04-15,17.5
1994-04-18,16.9375
1994-04-19,16.8125
1994-04-20,16.3125
1994-04-21,18.0
1994-04-22,18.4375
1994-04-25,19.4375
1994-04-26,20.0
1994-04-28,19.0625
1994-04-29,19.8125
1994-05-02,20.25
1994-05-03,19.9375
1994-05-04,19.4375
1994-05-05,19.25
1994-05-06,18.9375
1994-05-09,18.9375
1994-05-10,18.4375
1994-05-11,18.0625
1994-05-12,17.625
1994-05-13,18.0625
1994-05-16,18.0625
1994-05-17,18.9375
1994-05-18,19.5625
1994-05-19,19.75
1994-05-20,19.9375
1994-05-23,20.125
1994-05-24,20.0
1994-05-25,20.0
1994-05-26,20.3125
1994-05-27,20.875
1994-05-31,21.4375
1994-06-01,20.75
1994-06-02,20.625
1994-06-03,20.25
1994-06-06,19.9375
1994-06-07,19.9375
1994-06-08,19.5
1994-06-09,19.625
1994-06-10,20.25
1994-06-13,20.0625
1994-06-14,20.25
1994-06-15,20.625
1994-06-16,20.9375
1994-06-17,20.375
1994-06-20,19.75
1994-06-21,19.5625
1994-06-22,19.5625
1994-06-23,19.75
1994-06-24,19.5625
1994-06-27,19.6875
1994-06-28,19.6875
1994-06-29,19.875
1994-06-30,19.5
1994-07-01,19.25
1994-07-05,18.5
1994-07-06,18.8125
1994-07-07,19.125
1994-07-08,19.8125
1994-07-11,20.0
1994-07-12,19.8125
1994-07-13,20.3125
1994-07-14,20.25
1994-07-15,19.9375
1994-07-18,20.1875
1994-07-19,20.375
1994-07-20,19.9375
1994-07-21,19.3125
1994-07-22,19.375
1994-07-25,18.9375
1994-07-26,18.625
1994-07-27,17.875
1994-07-28,17.4375
1994-07-29,17.875
1994-08-01,18.1875
1994-08-02,18.125
1994-08-03,17.4375
1994-08-04,16.5703125
1994-08-05,16.125
1994-08-08,17.0
1994-08-09,16.875
1994-08-10,17.4375
1994-08-11,17.5
1994-08-12,17.75
1994-08-15,17.0625
1994-08-16,17.375
1994-08-17,17.5625
1994-08-18,17.75
1994-08-19,17.375
1994-08-22,17.0625
1994-08-23,16.8125
1994-08-24,16.9375
1994-08-25,17.125
1994-08-26,16.9375
1994-08-29,17.125
1994-08-30,17.5
1994-08-31,18.1875
1994-09-01,18.25
1994-09-02,17.875
1994-09-06,17.5625
1994-09-07,17.375
1994-09-08,17.4375
1994-09-09,17.6875
1994-09-12,17.3125
1994-09-13,17.6875
1994-09-14,18.375
1994-09-15,19.0
1994-09-16,18.9375
1994-09-19,18.5625
1994-09-20,18.5
1994-09-21,18.125
1994-09-22,17.9375
1994-09-23,18.25
1994-09-26,17.375
1994-09-27,17.25
1994-09-28,17.25
1994-09-29,16.875
1994-09-30,17.1875
1994-10-03,17.0625
1994-10-04,16.75
1994-10-05,16.625
1994-10-06,16.75
1994-10-07,17.625
1994-10-10,18.125
1994-10-11,18.0
1994-10-12,18.5
1994-10-13,18.125
1994-10-14,18.3125
1994-10-17,18.0
1994-10-18,18.125
1994-10-19,19.0625
1994-10-20,18.75
1994-10-21,18.3125
1994-10-24,18.125
1994-10-25,17.8125
1994-10-26,18.75
1994-10-27,18.4375
1994-10-28,19.1875
1994-10-31,19.125
1994-11-01,19.125
1994-11-02,19.875
1994-11-03,19.5625
1994-11-04,19.25
1994-11-07,19.0625
1994-11-08,19.0
1994-11-09,19.0
1994-11-10,19.25
1994-11-11,19.125
1994-11-14,19.375
1994-11-15,19.625
1994-11-16,19.5
1994-11-17,19.0625
1994-11-18,18.875
1994-11-21,18.375
1994-11-22,17.3125
1994-11-23,17.375
1994-11-25,17.75
1994-11-28,17.75
1994-11-29,17.6875
1994-11-30,17.5
1994-12-01,17.0
1994-12-02,17.6875
1994-12-05,17.5625
1994-12-06,17.0
1994-12-07,16.625
1994-12-08,16.1875
1994-12-09,16.5
1994-12-12,16.5625
1994-12-13,16.5
1994-12-14,16.0625
1994-12-15,15.75
1994-12-16,15.9375
1994-12-19,15.6875
1994-12-20,15.75
1994-12-21,15.625
1994-12-22,16.0
1994-12-23,17.125
1994-12-27,17.1875
