Date,COST
2003-05-15,35.38999938964844
2003-05-16,35.52000045776367
2003-05-19,34.20000076293945
2003-05-20,34.13999938964844
2003-05-21,34.619998931884766
2003-05-22,35.150001525878906
2003-05-23,34.77000045776367
2003-05-27,35.91999816894531
2003-05-28,37.349998474121094
2003-05-29,36.630001068115234
2003-05-30,37.25
2003-06-02,37.33000183105469
2003-06-03,37.36000061035156
2003-06-04,37.43000030517578
2003-06-05,36.93000030517578
2003-06-06,35.29999923706055
2003-06-09,34.9900016784668
2003-06-10,35.0
2003-06-11,35.279998779296875
2003-06-12,35.54999923706055
2003-06-13,34.869998931884766
2003-06-16,35.66999816894531
2003-06-17,35.79999923706055
2003-06-18,36.2400016784668
2003-06-19,35.58000183105469
2003-06-20,36.09000015258789
2003-06-23,35.81999969482422
2003-06-24,36.25
2003-06-25,36.040000915527344
2003-06-26,36.29999923706055
2003-06-27,36.0099983215332
2003-06-30,36.599998474121094
2003-07-01,36.5099983215332
2003-07-02,36.75
2003-07-03,36.099998474121094
2003-07-07,37.0
2003-07-08,36.88999938964844
2003-07-09,36.72999954223633
2003-07-10,36.25
2003-07-11,36.939998626708984
2003-07-14,37.150001525878906
2003-07-15,37.13999938964844
2003-07-16,36.880001068115234
2003-07-17,36.459999084472656
2003-07-18,36.61000061035156
2003-07-21,36.34000015258789
2003-07-22,36.52000045776367
2003-07-23,36.77000045776367
2003-07-24,36.189998626708984
2003-07-25,36.529998779296875
2003-07-28,36.88999938964844
2003-07-29,36.869998931884766
2003-07-30,36.709999084472656
2003-07-31,36.9900016784668
2003-08-01,36.66999816894531
2003-08-04,36.959999084472656
2003-08-05,30.059999465942383
2003-08-06,28.889999389648438
2003-08-07,29.030000686645508
2003-08-08,29.219999313354492
2003-08-11,29.450000762939453
2003-08-12,30.049999237060547
2003-08-13,30.299999237060547
2003-08-14,30.850000381469727
2003-08-15,30.950000762939453
2003-08-18,30.6299991607666
2003-08-19,30.489999771118164
2003-08-20,30.5
2003-08-21,30.739999771118164
2003-08-22,30.889999389648438
2003-08-25,31.450000762939453
2003-08-26,31.6200008392334
2003-08-27,31.790000915527344
2003-08-28,32.18000030517578
2003-08-29,32.25
2003-09-02,33.130001068115234
2003-09-03,33.2599983215332
2003-09-04,32.81999969482422
2003-09-05,32.20000076293945
2003-09-08,31.770000457763672
2003-09-09,31.020000457763672
2003-09-10,30.709999084472656
2003-09-11,31.6299991607666
2003-09-12,31.389999389648438
2003-09-15,30.90999984741211
2003-09-16,30.979999542236328
2003-09-17,31.530000686645508
2003-09-18,31.75
2003-09-19,32.58000183105469
2003-09-22,32.27000045776367
2003-09-23,32.790000915527344
2003-09-24,32.0
2003-09-25,31.799999237060547
2003-09-26,31.200000762939453
2003-09-29,31.360000610351562
2003-09-30,31.149999618530273
2003-10-01,32.29999923706055
2003-10-02,31.940000534057617
2003-10-03,32.2599983215332
2003-10-06,33.040000915527344
2003-10-07,33.34000015258789
2003-10-08,32.93000030517578
2003-10-09,32.9900016784668
2003-10-10,32.869998931884766
2003-10-13,33.349998474121094
2003-10-14,33.470001220703125
2003-10-15,33.63999938964844
2003-10-16,33.779998779296875
2003-10-17,33.310001373291016
2003-10-20,33.45000076293945
2003-10-21,33.90999984741211
2003-10-22,33.880001068115234
2003-10-23,34.060001373291016
2003-10-24,33.720001220703125
2003-10-27,33.900001525878906
2003-10-28,34.7599983215332
2003-10-29,35.310001373291016
2003-10-30,34.91999816894531
2003-10-31,35.45000076293945
2003-11-03,35.18000030517578
2003-11-04,35.290000915527344
2003-11-05,34.869998931884766
2003-11-06,34.9900016784668
2003-11-07,34.4900016784668
2003-11-10,34.45000076293945
2003-11-11,34.4900016784668
2003-11-12,34.88999938964844
2003-11-13,34.290000915527344
2003-11-14,34.15999984741211
2003-11-17,33.88999938964844
2003-11-18,33.63999938964844
2003-11-19,33.81999969482422
2003-11-20,34.13999938964844
2003-11-21,34.11000061035156
2003-11-24,35.150001525878906
2003-11-25,35.400001525878906
2003-11-26,35.40999984741211
2003-11-28,35.81999969482422
2003-12-01,36.599998474121094
2003-12-02,36.029998779296875
2003-12-03,35.79999923706055
2003-12-04,36.16999816894531
2003-12-05,35.81999969482422
2003-12-08,36.13999938964844
2003-12-09,36.0
2003-12-10,36.099998474121094
2003-12-11,36.13999938964844
2003-12-12,35.90999984741211
2003-12-15,35.43000030517578
2003-12-16,35.869998931884766
2003-12-17,35.9900016784668
2003-12-18,36.52000045776367
2003-12-19,36.59000015258789
2003-12-22,35.84000015258789
2003-12-23,36.25
2003-12-24,36.060001373291016
2003-12-26,36.380001068115234
2003-12-29,36.97999954223633
2003-12-30,37.290000915527344
2003-12-31,37.18000030517578
2004-01-02,36.31999969482422
2004-01-05,36.150001525878906
2004-01-06,36.560001373291016
2004-01-07,37.08000183105469
2004-01-08,37.2599983215332
2004-01-09,37.959999084472656
2004-01-12,37.70000076293945
